mlcoalsim version 09v3beta (20060206)
OUTPUT FILE: date 02/12/06 17:34:46 

Input data from the file: l2f1r12.txt

Finite island model. Population parameters in function of 4Ne
except the parameters that indicate the size of the populations, as Ne).

Print_neuttest:        1
Print_matrixpol:       0
N_iterations:          1000
Seed1:                 4638

N_loci:                1
N_sites:               3927
N_samples:             11
Mutations:             96
Sfix_allthetas:        1
Range_thetant:         1
Thetant_min:           0.000500
Thetant_max:           0.060000
Recombination:         12
Nintn:                 5
Nrec:                  1 1 0.01 0.01 1
Npast:                 1 0.01 0.01 1 1
Tpast:                 0.045 1E-006 0.005 1E-006 4

REJECTION ALGORITHM OF TAVARE et al. 1997. Fix S and screening all probable thetas.  Rejection algorithm n. 2.

Neutral tests (excluding multiple hits positions)
value(TD)	value(Fs)	value(FD*)	value(FF*)	value(FD)	value(FF)	value(H)	value(B)	value(Q)	value(ZA)	value(Fst)	value(Kw)	value(Hw)	value(R2)	value(S)	value(pi_w)	value(pi_b)	value(ThetaWatt)	value(ThetaTaj)	value(ThetaFW*)	value(D/Dmin)	value(H/Hmin)	value(maxhap)	value(maxhap1)
1.47	0.82195	0.69285	1.0141	0.7468	1.1892	2.8727	0.6	0.64583	0.64431	na	0.90909	0.98182	0.20382	96	0	0	32.776	42.836	39.964	0.65661	0.018287	0.18182	0.18182	
1.7994	6.379	0.83093	1.2268	0.93705	1.4753	4.3818	0.50526	0.53125	0.61908	na	0.63636	0.90909	0.21962	96	0	0	32.776	45.091	40.709	0.80376	0.027894	0.27273	0.36364	
0.68362	0.58143	0.32465	0.47364	0.23947	0.46042	10.509	0.30526	0.34375	0.38148	na	0.90909	0.98182	0.16962	96	0	0	32.776	37.455	26.945	0.30536	0.066898	0.18182	0.18182	
1.0715	-0.93358	0.87696	1.0529	1.0005	1.2585	-5.5818	0.53684	0.57292	0.60936	na	1	1	0.19323	96	0	0	32.776	40.109	45.691	0.47861	-0.035532	0.090909	0.18182	
-0.8679	-1.6487	-0.54984	-0.71745	-0.83863	-1.0436	6.8727	0.16842	0.21875	0.22767	na	1	1	0.10198	96	0	0	32.776	26.836	19.964	-0.38767	0.04375	0.090909	0.18182	
-1.7393	-0.52277	-1.7465	-1.9815	-2.4875	-2.7843	13.945	0.094737	0.14583	0.12034	na	0.90909	0.98182	0.073892	96	0	0	32.776	20.873	6.9273	-0.7769	0.088773	0.18182	0.18182	
-2.0794	-2.4415	-2.4829	-2.7021	-2.9948	-3.3467	-1.7091	0.33684	0.39583	0.35245	na	1	1	0.097955	96	0	0	32.776	18.545	20.255	-0.9288	-0.01088	0.090909	0.090909	
-1.7924	-2.21	-1.7925	-2.0359	-1.9801	-2.3684	-2.1818	0.23158	0.28125	0.26698	na	1	1	0.08366	96	0	0	32.776	20.509	22.691	-0.80064	-0.013889	0.090909	0.18182	
-1.8403	-2.2462	-2.2068	-2.3993	-3.1851	-3.421	14.564	0.12632	0.1875	0.14666	na	1	1	0.054654	96	0	0	32.776	20.182	5.6182	-0.822	0.092708	0.090909	0.090909	
-1.8721	-0.61307	-2.2068	-2.4086	-1.8533	-2.2892	-22.673	0.49474	0.53125	0.505	na	0.90909	0.98182	0.1577	96	0	0	32.776	19.964	42.636	-0.83624	-0.14433	0.18182	0.27273	
1.3691	2.3189	0.73888	1.0234	0.81022	1.206	-3.5091	0.55789	0.58333	0.62183	na	0.81818	0.96364	0.20179	96	0	0	32.776	42.145	45.655	0.61152	-0.022338	0.18182	0.18182	
